steps: 98000    train: 1.109bpc val: 1.104bpc   ms/batch: 902.3 span_avg: 361   span_max: 8192
steps: 99000    train: 1.112bpc val: 1.093bpc   ms/batch: 898.6 span_avg: 362   span_max: 8192
steps: 100000   train: 1.094bpc val: 1.098bpc   ms/batch: 901.8 span_avg: 363   span_max: 8192
steps: 101000   train: 1.100bpc val: 1.099bpc   ms/batch: 912.0 span_avg: 363   span_max: 8192
steps: 102000   train: 1.108bpc val: 1.093bpc   ms/batch: 912.6 span_avg: 364   span_max: 8192
steps: 103000   train: 1.094bpc val: 1.097bpc   ms/batch: 907.0 span_avg: 364   span_max: 8192
steps: 104000   train: 1.105bpc val: 1.097bpc   ms/batch: 918.2 span_avg: 366   span_max: 8192
steps: 105000   train: 1.093bpc val: 1.092bpc   ms/batch: 922.3 span_avg: 365   span_max: 8192
steps: 106000   train: 1.099bpc val: 1.092bpc   ms/batch: 917.1 span_avg: 368   span_max: 8192
steps: 107000   train: 1.102bpc val: 1.102bpc   ms/batch: 912.6 span_avg: 368   span_max: 8192
steps: 108000   train: 1.087bpc val: 1.098bpc   ms/batch: 917.6 span_avg: 369   span_max: 8192
steps: 109000   train: 1.099bpc val: 1.087bpc   ms/batch: 915.3 span_avg: 370   span_max: 8192
steps: 110000   train: 1.103bpc val: 1.100bpc   ms/batch: 926.3 span_avg: 370   span_max: 8192
steps: 111000   train: 1.085bpc val: 1.096bpc   ms/batch: 922.9 span_avg: 370   span_max: 8192
steps: 112000   train: 1.091bpc val: 1.085bpc   ms/batch: 936.2 span_avg: 371   span_max: 8192
steps: 113000   train: 1.098bpc val: 1.094bpc   ms/batch: 937.9 span_avg: 372   span_max: 8192
steps: 114000   train: 1.086bpc val: 1.092bpc   ms/batch: 931.6 span_avg: 372   span_max: 8192
steps: 115000   train: 1.096bpc val: 1.088bpc   ms/batch: 921.3 span_avg: 373   span_max: 8192
steps: 116000   train: 1.084bpc val: 1.092bpc   ms/batch: 940.1 span_avg: 373   span_max: 8192
steps: 117000   train: 1.091bpc val: 1.093bpc   ms/batch: 936.2 span_avg: 374   span_max: 8192
steps: 118000   train: 1.093bpc val: 1.089bpc   ms/batch: 938.5 span_avg: 373   span_max: 8192
steps: 119000   train: 1.079bpc val: 1.087bpc   ms/batch: 944.0 span_avg: 374   span_max: 8192
steps: 120000   train: 1.091bpc val: 1.091bpc   ms/batch: 950.8 span_avg: 375   span_max: 8192
steps: 121000   train: 1.094bpc val: 1.086bpc   ms/batch: 948.4 span_avg: 376   span_max: 8192
steps: 122000   train: 1.077bpc val: 1.088bpc   ms/batch: 935.6 span_avg: 375   span_max: 8192
steps: 123000   train: 1.084bpc val: 1.090bpc   ms/batch: 945.3 span_avg: 375   span_max: 8192
steps: 124000   train: 1.089bpc val: 1.078bpc   ms/batch: 946.5 span_avg: 377   span_max: 8192
steps: 125000   train: 1.079bpc val: 1.086bpc   ms/batch: 932.4 span_avg: 378   span_max: 8192
steps: 126000   train: 1.088bpc val: 1.093bpc   ms/batch: 929.7 span_avg: 378   span_max: 8192
steps: 127000   train: 1.076bpc val: 1.082bpc   ms/batch: 942.7 span_avg: 377   span_max: 8192
steps: 128000   train: 1.084bpc val: 1.083bpc   ms/batch: 951.0 span_avg: 379   span_max: 8192
steps: 129000   train: 1.086bpc val: 1.093bpc   ms/batch: 946.9 span_avg: 378   span_max: 8192
steps: 130000   train: 1.072bpc val: 1.080bpc   ms/batch: 952.4 span_avg: 379   span_max: 8192
steps: 131000   train: 1.082bpc val: 1.081bpc   ms/batch: 957.0 span_avg: 379   span_max: 8192
steps: 132000   train: 1.087bpc val: 1.092bpc   ms/batch: 947.3 span_avg: 381   span_max: 8192
steps: 133000   train: 1.070bpc val: 1.084bpc   ms/batch: 931.3 span_avg: 382   span_max: 8192
steps: 99000    train: 1.112bpc val: 1.093bpc   ms/batch: 898.6 span_avg: 362   span_max: 8192
steps: 100000   train: 1.094bpc val: 1.098bpc   ms/batch: 901.8 span_avg: 363   span_max: 8192
steps: 101000   train: 1.100bpc val: 1.099bpc   ms/batch: 912.0 span_avg: 363   span_max: 8192
steps: 102000   train: 1.108bpc val: 1.093bpc   ms/batch: 912.6 span_avg: 364   span_max: 8192
steps: 103000   train: 1.094bpc val: 1.097bpc   ms/batch: 907.0 span_avg: 364   span_max: 8192
steps: 104000   train: 1.105bpc val: 1.097bpc   ms/batch: 918.2 span_avg: 366   span_max: 8192
steps: 105000   train: 1.093bpc val: 1.092bpc   ms/batch: 922.3 span_avg: 365   span_max: 8192
