steps: 107000   train: 1.129bpc val: 1.105bpc   ms/batch: 613.9 span_avg: 186   span_max: 4492
steps: 108000   train: 1.131bpc val: 1.112bpc   ms/batch: 631.9 span_avg: 187   span_max: 4497
steps: 109000   train: 1.119bpc val: 1.110bpc   ms/batch: 617.0 span_avg: 188   span_max: 4493
steps: 110000   train: 1.128bpc val: 1.103bpc   ms/batch: 632.2 span_avg: 187   span_max: 4495
steps: 111000   train: 1.119bpc val: 1.109bpc   ms/batch: 619.0 span_avg: 187   span_max: 4495
steps: 112000   train: 1.126bpc val: 1.107bpc   ms/batch: 612.0 span_avg: 188   span_max: 4496
steps: 113000   train: 1.124bpc val: 1.101bpc   ms/batch: 636.1 span_avg: 187   span_max: 4496
steps: 114000   train: 1.114bpc val: 1.106bpc   ms/batch: 610.9 span_avg: 188   span_max: 4500
steps: 115000   train: 1.126bpc val: 1.108bpc   ms/batch: 640.6 span_avg: 187   span_max: 4502
steps: 116000   train: 1.123bpc val: 1.102bpc   ms/batch: 616.3 span_avg: 188   span_max: 4499
steps: 109000   train: 1.119bpc val: 1.110bpc   ms/batch: 617.0 span_avg: 188   span_max: 4493
steps: 110000   train: 1.128bpc val: 1.103bpc   ms/batch: 632.2 span_avg: 187   span_max: 4495
steps: 111000   train: 1.119bpc val: 1.109bpc   ms/batch: 619.0 span_avg: 187   span_max: 4495
steps: 112000   train: 1.126bpc val: 1.107bpc   ms/batch: 612.0 span_avg: 188   span_max: 4496
steps: 113000   train: 1.124bpc val: 1.101bpc   ms/batch: 636.1 span_avg: 187   span_max: 4496
steps: 114000   train: 1.114bpc val: 1.106bpc   ms/batch: 610.9 span_avg: 188   span_max: 4500
steps: 115000   train: 1.126bpc val: 1.108bpc   ms/batch: 640.6 span_avg: 187   span_max: 4502
steps: 116000   train: 1.123bpc val: 1.102bpc   ms/batch: 616.3 span_avg: 188   span_max: 4499
steps: 117000   train: 1.112bpc val: 1.102bpc   ms/batch: 607.6 span_avg: 188   span_max: 4503
steps: 118000   train: 1.118bpc val: 1.106bpc   ms/batch: 641.4 span_avg: 189   span_max: 4501
steps: 119000   train: 1.124bpc val: 1.101bpc   ms/batch: 618.0 span_avg: 188   span_max: 4501
steps: 120000   train: 1.110bpc val: 1.097bpc   ms/batch: 607.1 span_avg: 189   span_max: 4498
steps: 121000   train: 1.120bpc val: 1.109bpc   ms/batch: 631.1 span_avg: 189   span_max: 4499
steps: 122000   train: 1.111bpc val: 1.102bpc   ms/batch: 627.7 span_avg: 190   span_max: 4502
steps: 111000   train: 1.119bpc val: 1.109bpc   ms/batch: 619.0 span_avg: 187   span_max: 4495
steps: 112000   train: 1.126bpc val: 1.107bpc   ms/batch: 612.0 span_avg: 188   span_max: 4496
steps: 113000   train: 1.124bpc val: 1.101bpc   ms/batch: 636.1 span_avg: 187   span_max: 4496
steps: 114000   train: 1.114bpc val: 1.106bpc   ms/batch: 610.9 span_avg: 188   span_max: 4500
